Time, Ch01, Ch02, Ch03, Ch04, Ch05, Ch06, Ch07, Ch08
0,199999.96875,0.0025582816451787949,6.5448052737338003e-06,1.3089611172745208e-07,-0.55502384901046753,438.00164794921875,0.87298905849456787,0
0.004,199999.96875,0.037795566022396088,0.0014285048237070441,2.8700995244435035e-05,-0.55501699447631836,178829.328125,6.1353545188903809,0
0.008,199999.96875,0.27568784356117249,0.076003789901733398,0.0015487767523154616,-0.55465346574783325,453809,20.662643432617188,0
0.012,199999.96875,1.3329442739486694,1.7767404317855835,0.037083584815263748,-0.54615229368209839,6368548,45.531147003173828,0
0.016,199999.96875,4.838526725769043,23.411340713500977,0.50531041622161865,-0.43413624167442322,9731427,75.308860778808594,0
0.02,199999.96875,14.15251636505127,200.293701171875,4.5111837387084961,0.52420663833618164,38044736,100.61447906494141,0
0.024,199999.96875,34.930694580078125,1220.1533203125,28.914251327514648,6.3622612953186035,38044736,113.24892425537109,0
0.028,199999.96875,75.155921936035156,5648.41259765625,141.88252258300781,33.388164520263672,38044736,111.05014801025391,0
0.032,199999.96875,144.40409851074219,20852.54296875,558.93341064453125,133.16110229492188,38044736,98.779075622558594,0
0.036,199999.96875,252.4117431640625,63711.6875,1833.1669921875,438.00164794921875,38044736,83.728195190429688,0
0.04,199999.96875,407.28369140625,165880,5150.76708984375,1231.6859130859375,38044736,70.740745544433594,0
0.044,199999.96875,613.7698974609375,376713.5,12685.037109375,3034.142578125,38044736,61.315788269042969,0
0.048,199999.96875,871.94171142578125,760282.375,27890.68359375,6671.85693359375,38044736,55.371482849121094,0
0.052,199999.96875,1176.4241943359375,1383973.75,55570.15625,13293.740234375,38044736,51.993976593017578,0
0.056,199999.96875,1516.2017822265625,2298867.5,101547.5,24293.10546875,38044736,49.301933288574219,0
0.06,199999.96875,1874.9228515625,3515335.5,171854.21875,41112.89453125,38044736,45.459270477294922,0
0.064,199999.96875,2231.591064453125,4979998.5,271454.1875,64940.63671875,38044736,40.109642028808594,0
0.068,199999.96875,2561.533203125,6561452,402683.1875,96335.125,38044736,34.162956237792969,0
0.072,199999.96875,2837.578857421875,8051854.5,563720.3125,134860.75,38044736,28.427118301391602,0
0.076,199999.96875,3031.40771484375,9189432,747508.875,178829.328125,38044736,23.096508026123047,0
0.08,199999.96875,3115.0390625,9703469,941578.3125,225257.421875,56214132,18.255508422851562,0
0.084,199999.96875,3062.387939453125,9378221,1129142.75,270129.25,56214132,14.068916320800781,0
0.088,199999.96875,2850.8359375,8127265.5,1291688,309015.6875,56214132,10.423933029174805,0
0.092,199999.96875,2462.721435546875,6064997.5,1412988,338034.84375,56214132,6.9045090675354004,0
0.096,199999.96875,1886.6802978515625,3559562.75,1484179.375,355066.25,56214132,3.2352886199951172,0
0.1,199999.96875,1118.758544921875,1251620.625,1509211.625,361054.84375,56214132,-0.48366746306419373,0
0.104,199999.96875,163.22737121582031,26643.171875,1509744.625,361182.34375,56214132,-3.9882831573486328,0
0.108,199999.96875,-966.93682861328125,934966.8125,1528443.75,365655.84375,56214132,-7.1509337425231934,0
0.112,199999.96875,-2249.931640625,5062192,1629687.75,389876.90625,56214132,-10.052450180053711,0
0.116,199999.96875,-3655.382080078125,13361819,1896924,453809,56214132,-12.837728500366211,0
0.12,199999.96875,-5144.95947265625,26470608,2426336,580462.5,56214132,-15.55877685546875,0
0.124,199999.96875,-6673.3583984375,44533716,3317010.75,793542.6875,56214132,-18.154571533203125,0
0.128,199999.96875,-8189.5966796875,67069492,4658400,1114449.375,56214132,-20.572158813476562,0
0.132,199999.96875,-9638.5966796875,92902552,6516451,1558959,56214132,-22.865259170532227,0
0.136,199999.96875,-10962.982421875,120186984,8920190,2134016,56214132,-25.097635269165039,0
0.14,199999.96875,-12105.0703125,146532704,11850845,2835129.5,56214132,-27.207708358764648,0
0.144,199999.96875,-13008.9296875,169232256,15235491,3644853.5,56214132,-29.123189926147461,0
0.148,199999.96875,-13622.4736328125,185571792,18946924,4532756,56214132,-30.931716918945312,0
0.152,199999.96875,-13899.5,193196112,22810848,5457140,56214132,-32.706310272216797,0
0.156,199999.96875,-13801.6015625,190484192,26620534,6368548,56214132,-34.272575378417969,0
